ship	leg	departure	arrival	startx	starty	destinationx	destinationy
0	1	9	14	302	715	944	605
1	1	9	14	302	715	944	605
2	1	12	17	302	715	944	605
3	1	18	23	302	715	944	605
3	2	36	37	944	605	682	732
4	1	36	37	944	605	682	732
0	2	36	37	944	605	648	650
1	2	36	37	944	605	648	650
2	2	36	37	944	605	648	650
5	1	36	37	944	605	648	650
6	1	36	37	944	605	648	650
3	3	50	51	682	732	648	650
4	2	50	51	682	732	648	650
0	3	53	57	648	650	347	631
1	3	53	57	648	650	347	631
3	4	53	57	648	650	347	631
4	3	53	57	648	650	347	631
5	2	53	57	648	650	347	631
6	2	53	57	648	650	347	631
2	3	90	94	648	650	347	631
