ship	leg	departure	arrival	startx	starty	destinationx	destinationy
0	1	26	27	538	351	685	779
1	1	53	54	538	351	685	779
2	1	53	54	538	351	830	344
2	2	76	92	830	344	538	351
1	2	87	92	685	779	538	351
3	1	89	92	538	351	558	752
4	1	89	92	538	351	558	752
1	3	101	103	538	351	558	752
5	1	101	103	538	351	558	752
6	1	101	103	538	351	558	752
7	1	114	116	538	351	558	752
1	4	121	122	558	752	531	785
4	2	121	122	558	752	531	785
5	2	121	122	558	752	531	785
6	2	121	122	558	752	531	785
1	5	128	129	531	785	746	641
4	3	128	129	531	785	746	641
6	3	128	129	531	785	746	641
2	3	128	129	538	351	746	641
3	2	130	131	558	752	915	649
7	2	130	131	558	752	915	649
1	6	131	132	746	641	944	605
